index,time,x_b,y_b,z_b,th_z,th_y,th_x,x0,y0,z0,fx0,fy0,fz0,x1,y1,z1,fx1,fy1,fz1
117,1.04819,0.444847,0.337336,0.472905,0.126632,-0.0115967,-0.0909457,0.511307,0.368819,0.2,-13.1005,-6.47095,307.622,0.320044,0.225345,0.0193052,0,0,0
118,1.05723,0.452098,0.34308,0.475343,0.126511,-0.0128417,-0.094213,0.511307,0.368819,0.2,-14.8126,-7.30653,347.342,0.33408,0.230203,0.0323278,0,0,0
119,1.06627,0.459289,0.348794,0.478375,0.126593,-0.0189266,-0.096135,0.511307,0.368819,0.2,-15.3248,-7.25747,352.107,0.353303,0.236862,0.0501565,0,0,0
120,1.0753,0.466417,0.35448,0.482028,0.126853,-0.0291237,-0.0971256,0.511307,0.368819,0.2,-17.2368,-5.49911,335.249,0.377689,0.24555,0.0724828,0,0,0
121,1.08434,0.473473,0.360145,0.486241,0.127248,-0.0423102,-0.0975464,0.511307,0.368819,0.2,-20.5862,-2.42764,306.252,0.406184,0.256422,0.0977014,0,0,0
122,1.09337,0.480444,0.3658,0.490898,0.127726,-0.0571914,-0.0976095,0.511307,0.368819,0.2,-24.6694,1.31194,271.11,0.437672,0.269628,0.124126,0,0,0
123,1.10241,0.487315,0.37146,0.495862,0.128229,-0.0724801,-0.0973752,0.511307,0.368819,0.2,-28.7828,5.07464,235.82,0.471036,0.285321,0.150071,0,0,0
124,1.11145,0.494069,0.377141,0.500991,0.128682,-0.0870252,-0.0967961,0.511307,0.368819,0.2,-32.2225,8.21548,206.374,0.505158,0.303649,0.17385,0,0,0
125,1.12048,0.500692,0.382854,0.506169,0.129007,-0.0998909,-0.0957996,0.511307,0.368819,0.2,-34.285,10.0895,188.768,0.538923,0.324766,0.193776,0,0,0
126,1.12952,0.507177,0.388607,0.511329,0.129133,-0.110395,-0.0944013,0.511307,0.368819,0.2,-34.0818,10.4673,187.743,0.57123,0.348794,0.208221,0,0,0
